Station:         HUBV_RS41SGP
Latitude:        39.0563
Longitude:       -76.8755
Altitude:        52.3
SW version:      MW41 2.15.0

Start time:      16/03/2022 17:37:10

    Time	  Height	Pressure	    Temp	Humidity	    WDir	  WSpeed	     Lat	     Lon
     0.0	      52	  1014.9	    22.9	    26.7	    96.0	     2.1	 39.0563	-76.8755
     1.3	      57	  1014.4	    21.9	    28.9	   117.4	     2.3	 39.0563	-76.8757
     2.3	      63	  1013.7	    21.3	    28.5	   119.8	     2.6	 39.0563	-76.8757
     3.3	      70	  1012.9	    21.1	    29.0	   119.8	     2.8	 39.0563	-76.8757
     4.3	      78	  1012.0	    20.8	    29.3	   119.1	     3.1	 39.0563	-76.8757
     5.3	      85	  1011.1	    20.4	    29.3	   118.4	     3.3	 39.0563	-76.8758
     6.3	      91	  1010.5	    20.3	    29.3	   117.8	     3.5	 39.0564	-76.8758
     7.3	      99	  1009.9	    20.3	    29.1	   117.4	     3.7	 39.0564	-76.8759
     8.3	     104	  1009.3	    20.2	    28.9	   117.0	     4.0	 39.0565	-76.8760
     9.3	     107	  1008.7	    20.1	    28.9	   116.6	     4.2	 39.0565	-76.8761
    10.3	     110	  1008.2	    19.9	    29.2	   116.2	     4.3	 39.0566	-76.8761
    11.3	     115	  1007.7	    19.6	    29.4	   115.8	     4.5	 39.0566	-76.8762
    12.3	     118	  1007.3	    19.6	    29.6	   115.4	     4.7	 39.0566	-76.8763
    13.3	     121	  1006.8	    19.6	    29.7	   115.0	     4.8	 39.0566	-76.8763
    14.3	     125	  1006.4	    19.6	    29.7	   114.6	     4.9	 39.0566	-76.8764
    15.3	     128	  1005.9	    19.5	    29.7	   114.2	     5.0	 39.0566	-76.8765
    16.3	     133	  1005.4	    19.5	    29.8	   113.8	     5.1	 39.0567	-76.8765
    17.3	     137	  1004.9	    19.5	    29.8	   113.4	     5.2	 39.0567	-76.8766
    18.3	     141	  1004.4	    19.4	    29.9	   113.1	     5.2	 39.0567	-76.8767
    19.3	     147	  1003.8	    19.3	    30.0	   112.7	     5.2	 39.0567	-76.8768
    20.3	     153	  1003.2	    19.3	    30.0	   112.4	     5.2	 39.0567	-76.8769
    21.3	     157	  1002.6	    19.2	    30.0	   112.1	     5.2	 39.0567	-76.8769
    22.3	     162	  1002.0	    19.2	    30.0	   111.9	     5.1	 39.0567	-76.8769
    23.3	     168	  1001.4	    19.2	    30.0	   111.7	     5.1	 39.0568	-76.8770
    24.3	     173	  1000.8	    19.2	    30.0	   111.5	     5.0	 39.0568	-76.8770
    25.3	     178	  1000.2	    19.2	    30.1	   111.4	     4.9	 39.0569	-76.8771
    26.3	     183	   999.6	    19.1	    30.2	   111.3	     4.8	 39.0569	-76.8772
    27.3	     188	   999.0	    19.0	    30.4	   111.3	     4.8	 39.0569	-76.8773
    28.3	     193	   998.4	    18.9	    30.6	   111.3	     4.6	 39.0569	-76.8773
    29.3	     199	   997.7	    18.7	    30.8	   111.4	     4.5	 39.0569	-76.8774
    30.3	     205	   997.1	    18.7	    30.8	   111.6	     4.4	 39.0569	-76.8774
    31.3	     211	   996.5	    18.6	    30.8	   111.9	     4.3	 39.0569	-76.8774
    32.3	     217	   995.9	    18.7	    30.8	   112.2	     4.2	 39.0569	-76.8775
    33.3	     221	   995.4	    18.7	    30.8	   112.5	     4.1	 39.0569	-76.8775
    34.3	     226	   994.9	    18.6	    30.9	   113.0	     4.0	 39.0569	-76.8776
    35.3	     228	   994.5	    18.6	    31.0	   113.4	     3.9	 39.0569	-76.8776
    36.3	     232	   994.1	    18.6	    31.2	   114.0	     3.8	 39.0568	-76.8777
    37.3	     236	   993.7	    18.5	    31.4	   114.5	     3.7	 39.0568	-76.8777
    38.3	     238	   993.4	    18.5	    31.5	   115.1	     3.6	 39.0569	-76.8777
    39.3	     240	   993.0	    18.4	    31.6	   115.7	     3.5	 39.0569	-76.8777
    40.3	     241	   992.7	    18.4	    31.7	   116.4	     3.5	 39.0570	-76.8777
    41.3	     245	   992.3	    18.4	    31.8	   116.9	     3.4	 39.0570	-76.8777
    42.3	     248	   991.9	    18.4	    31.7	   117.5	     3.4	 39.0571	-76.8778
    43.3	     251	   991.5	    18.3	    31.6	   117.9	     3.4	 39.0571	-76.8778
    44.3	     256	   991.1	    18.3	    31.6	   118.3	     3.3	 39.0571	-76.8779
    45.3	     261	   990.6	    18.3	    31.5	   118.7	     3.3	 39.0571	-76.8779
